#ServerReceiveDate,msec,HsSendDate,msec,ProtorolVer,Sn,Lat,Lon,G_amp,Seq,P_Shindo,P_Gal,S_ShindoEst,S_ShindoEst,S_Shindo,S_Gal,P_sn,P_co_p,TrigStartDate,msec,Uncertainty,isEq,Bcast,IsEew,Param,MdPort,MdEn,MdAct,Sp
9/8/17 4:49,755,4:49:53,727,2,1604396,16.20459,-95.2071,1.22,6,1.74,2.52,2.74,7.55,2.17,4.15,131,598,9/8/17 4:49,737,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:49,855,4:49:53,802,2,1604482,14.9074,-92.2622,1.22,6,1.04,1.12,2.04,3.37,1.04,1.12,51,349,9/8/17 4:49,144,0,2350,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,803,4:49:54,702,2,1604482,14.9074,-92.2622,1.22,7,1.13,1.26,2.13,3.77,1.16,1.3,55,439,9/8/17 4:49,144,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,16,4:49:54,990,2,1604393,16.2014,-95.1953,1.22,8,1.76,2.57,2.76,7.72,2.54,6.34,123,747,9/8/17 4:49,502,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:49,255,4:49:55,226,2,1604396,16.20459,-95.2071,1.22,7,1.73,2.5,2.73,7.49,2.38,5.29,131,748,9/8/17 4:49,737,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:49,635,4:49:55,607,2,1604397,15.7734,-96.0966,1.22,1,0.75,0.81,1.75,2.43,0.75,0.81,42,104,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,650,4:49:55,623,2,1604062,15.6855,-93.2022,1.22,12,1.55,2.04,2.55,6.12,2.95,10.2,83,1716,9/8/17 4:49,446,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,854,4:49:55,804,2,1604482,14.9074,-92.2622,1.22,8,1.13,1.26,2.13,3.77,1.21,1.38,57,549,9/8/17 4:49,144,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,915,4:49:55,893,2,1604397,15.7734,-96.0966,1.22,2,0.93,1,1.93,2.99,0.93,1,47,134,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,320,4:49:56,293,2,1604397,15.7734,-96.0966,1.22,3,1.16,1.3,2.16,3.89,1.16,1.3,56,174,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,659,4:49:56,613,2,1604391,15.7592,-96.1013,1.22,1,0.55,0.64,1.55,1.93,0.41,0.54,37,81,9/8/17 4:49,779,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,825,4:49:56,800,2,1604397,15.7734,-96.0966,1.22,4,1.47,1.85,2.47,5.54,1.47,1.85,66,224,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,ON,OFF
9/8/17 4:49,918,4:49:56,892,2,1604393,16.2014,-95.1953,1.22,9,1.78,2.65,2.78,7.94,2.63,7.06,123,937,9/8/17 4:49,502,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:49,938,4:49:56,902,2,1604391,15.7592,-96.1013,1.22,2,0.7,0.77,1.7,2.3,0.68,0.74,39,111,9/8/17 4:49,779,0,2400,OFF,OFF,,10505,ON,ON,OFF
9/8/17 4:49,155,4:49:57,127,2,1604396,16.20459,-95.2071,1.22,8,1.75,2.55,2.75,7.66,2.55,6.39,131,938,9/8/17 4:49,737,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:49,241,4:49:57,204,2,1604391,15.7592,-96.1013,1.22,3,0.73,0.79,1.73,2.37,0.73,0.79,38,141,9/8/17 4:49,779,0,2500,OFF,OFF,,10505,ON,ON,OFF
9/8/17 4:49,255,4:49:57,203,2,1604482,14.9074,-92.2622,1.22,9,1.13,1.26,2.13,3.77,1.26,1.46,57,689,9/8/17 4:49,144,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,417,4:49:57,394,2,1604397,15.7734,-96.0966,1.22,5,1.62,2.19,2.62,6.58,1.62,2.19,73,284,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:49,641,4:49:57,604,2,1604391,15.7592,-96.1013,1.22,4,0.83,0.89,1.83,2.67,0.83,0.89,40,181,9/8/17 4:49,779,0,2500,OFF,OFF,,10505,ON,ON,OFF
9/8/17 4:49,116,4:49:58,94,2,1604397,15.7734,-96.0966,1.22,6,1.72,2.47,2.72,7.43,1.72,2.47,81,354,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:49,146,4:49:58,102,2,1604391,15.7592,-96.1013,1.22,5,0.97,1.04,1.97,3.13,0.94,1.01,44,231,9/8/17 4:49,779,0,2500,OFF,OFF,,10505,ON,ON,OFF
9/8/17 4:49,739,4:49:58,702,2,1604391,15.7592,-96.1013,1.22,6,1.05,1.14,2.05,3.43,1.03,1.11,45,291,9/8/17 4:49,779,0,2500,OFF,OFF,,10505,ON,ON,OFF
9/8/17 4:49,54,4:49:59,3,2,1604482,14.9074,-92.2622,1.22,10,1.13,1.25,2.13,3.76,1.45,1.81,57,869,9/8/17 4:49,144,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:49,318,4:49:59,292,2,1604393,16.2014,-95.1953,1.22,10,1.74,2.54,2.74,7.62,3.27,14.73,123,1177,9/8/17 4:49,502,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:49,539,4:49:59,503,2,1604391,15.7592,-96.1013,1.22,7,1.15,1.29,2.15,3.86,1.15,1.29,49,371,9/8/17 4:49,779,0,2500,OFF,OFF,,10505,ON,ON,OFF
9/8/17 4:49,565,4:49:59,527,2,1604396,16.20459,-95.2071,1.22,9,1.71,2.43,2.71,7.29,3.48,18.83,131,1178,9/8/17 4:49,737,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:49,947,4:49:59,924,2,1604062,15.6855,-93.2022,1.22,13,1.6,2.15,2.6,6.44,3.43,17.72,83,2146,9/8/17 4:49,446,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,117,4:50:00,94,2,1604397,15.7734,-96.0966,1.22,8,1.85,2.87,2.85,8.6,2.27,4.64,110,554,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,ON,ON
